0,0,0,0,null
0,3,-15,5,null
0,13,-15,5,2561
0,19,15,15,2561
0,29,15,15,null
0,29,15,15,null
0,35,-15,5,null
0,35,-15,5,null
0,35,-15,5,null
0,45,-15,5,2562
0,99,255,45,2562
0,109,255,45,null
0,109,255,45,null
0,163,-15,5,null
0,163,-15,5,null
0,163,-15,5,null
0,173,-15,5,2563
0,227,255,75,2563
0,237,255,75,null
0,237,255,75,null
0,291,-15,5,null
0,291,-15,5,null
0,291,-15,5,null
0,301,-15,5,2564
0,353,245,45,2564
0,363,245,45,null
0,363,245,45,null
0,415,-15,5,null
0,415,-15,5,null
0,415,-15,5,null
0,425,-15,5,2565
0,433,25,25,2565
0,443,25,25,null
0,443,25,25,null
0,451,-15,5,null
0,451,-15,5,null
0,451,-15,5,null
0,461,-15,5,2566
0,469,25,35,2566
0,479,25,35,null
0,479,25,35,null
0,487,-15,5,null
0,487,-15,5,null
0,487,-15,5,null
0,497,-15,5,2567
0,550,250,45,2567
0,560,250,45,null
0,560,250,45,null
0,613,-15,5,null
0,613,-15,5,null
0,613,-15,5,null
0,623,-15,5,2568
0,676,250,35,2568
0,686,250,35,null
0,686,250,35,null
0,739,-15,5,null
0,739,-15,5,null
0,739,-15,5,null
0,749,-15,5,2569
0,802,250,75,2569
0,812,250,75,null
0,812,250,75,null
0,865,-15,5,null
0,865,-15,5,null
0,865,-15,5,null
0,875,-15,5,2570
0,930,260,35,2570
0,940,260,35,null
0,940,260,35,null
0,995,-15,5,null
1,940,500,0,null
1,988,260,35,null
1,998,260,35,2570
1,1149,1015,5,2570
1,1159,1015,5,null
1,1159,1015,5,null
1,1217,725,65,null
1,1227,725,65,2008
1,1228,720,55,2008
1,1238,720,55,null
1,1238,720,55,null
1,1240,730,65,null
1,1250,730,65,1606
1,1307,1015,5,1606
1,1317,1015,5,null
1,1317,1015,5,null
1,1349,855,45,null
1,1359,855,45,2273
1,1360,855,55,2273
1,1370,855,55,null
1,1370,855,55,null
1,1371,860,45,null
1,1381,860,45,2099
1,1412,1015,5,2099
1,1422,1015,5,null
1,1422,1015,5,null
1,1473,760,85,null
1,1483,760,85,2101
1,1485,755,65,2101
1,1495,755,65,null
1,1495,755,65,null
1,1497,755,85,null
1,1507,755,85,1903
1,1509,745,75,1903
